City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
203,Awbari,LY,86.04,clear sky,26.5921,12.7805,فندق أوباري
207,Amos,CA,76.98,broken clouds,48.5669,-78.1162,"Amosphère, complexe hôtelier"
212,Jiwani,PK,83.17,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
221,Kavieng,PG,81.0,light rain,-2.5744,150.7967,Nusa Island Retreat
228,Qesarya,IL,83.23,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
234,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
236,Mogadishu,SO,76.55,light rain,2.0371,45.3438,Hotel Juba
239,Barra Patuca,HN,84.67,broken clouds,15.8,-84.2833,
248,Donskoye,RU,75.33,few clouds,45.4552,41.9741,
251,Mitsamiouli,KM,76.23,overcast clouds,-11.3847,43.2844,Foyer ADM
252,Banda Aceh,ID,79.75,overcast clouds,5.5577,95.3222,Sulthan Hotel International
253,Vladyslavivka,UA,76.14,few clouds,45.1667,35.3667,
257,Nouna,BF,84.67,light rain,12.7333,-3.8667,Sabunyuma So
260,Zhanaozen,KZ,85.6,clear sky,43.3,52.8,K.korabay 28A
261,Winona,US,89.4,clear sky,43.9666,-91.7668,
278,Kaele,CM,76.24,light rain,10.1092,14.4508,Hôtel Les Palmiers
279,Khash,IR,86.56,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
280,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
282,Mersing,MY,78.71,clear sky,2.4312,103.8405,Timotel Hotel
284,Mecca,SA,88.84,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
286,Ganzhou,CN,77.61,scattered clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
289,Brazzaville,CG,75.51,few clouds,-4.2658,15.2832,Hotel Muesse
290,Shahr-E Babak,IR,80.71,clear sky,30.1165,55.1186,Duna Ecolodge
291,Bairiki,KI,75.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
292,La Pintada,CO,87.06,overcast clouds,5.7487,-75.6063,Hotel Real Dinastia
294,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
297,Nioro,GM,80.73,overcast clouds,13.35,-15.75,
298,Mastic Beach,US,81.39,scattered clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
301,Sault Sainte Marie,CA,79.36,haze,46.5168,-84.3333,Comfort Inn
304,Ipixuna,BR,89.55,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
307,Balikpapan,ID,75.24,scattered clouds,-1.2675,116.8289,ibis Balikpapan
308,Sola,VU,79.88,broken clouds,-13.8833,167.55,Leumerus Bungalows
311,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
314,Shenjiamen,CN,77.5,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
318,Balabac,PH,83.35,few clouds,7.9868,117.0645,Sing and Swing Lodge
